$CNO_AngleKeepDetails_Desc	一度フォーカスしたマーカーの詳細を表示し続ける角度です。
$CNO_AngleKeepDetails_Title	詳細を維持する角度
$CNO_AngleShowDetails_Desc	コンパス中央からマーカー詳細の表示を開始する角度です。
$CNO_AngleShowDetails_Title	詳細を表示する角度
$CNO_CompassOffsetX_Desc	コンパスに適用する水平方向のオフセットです。
$CNO_CompassOffsetX_Title	水平オフセット
$CNO_CompassOffsetY_Desc	コンパスに適用する垂直方向のオフセットです。
$CNO_CompassOffsetY_Title	垂直オフセット
$CNO_CompassScale_Desc	コンパスHUD要素のスケールです。
$CNO_CompassScale_Title	コンパスのスケール
$CNO_FocusDelay_Desc	フォーカスしたマーカーの詳細を表示するまでの遅延です。
$CNO_FocusDelay_Title	フォーカス遅延
$CNO_Header_CompassMarkers	コンパスマーカー
$CNO_Header_CompassPosition	コンパスの位置とスケール
$CNO_Header_PositionScale	位置とスケール
$CNO_Header_Timing	タイミング
$CNO_Header_Visibility	表示
$CNO_HideInCombat_Desc	プレイヤーが戦闘中のときクエスト一覧を非表示にします。
$CNO_HideInCombat_Title	戦闘中は非表示
$CNO_JoggingDelay_Desc	ジョギング中にクエスト一覧を表示するまでの遅延です。
$CNO_JoggingDelay_Title	ジョギング時の遅延
$CNO_MaxHeight_Desc	クエスト一覧で使用する最大の高さです。
$CNO_MaxHeight_Title	最大高さ
$CNO_Page_Compass	コンパス
$CNO_Page_QuestList	クエスト一覧
$CNO_PositionX_Desc	クエスト一覧の水平位置です。
$CNO_PositionX_Title	水平位置
$CNO_PositionY_Desc	クエスト一覧の垂直位置です。
$CNO_PositionY_Title	垂直位置
$CNO_Scale_Desc	クエスト一覧のスケールです。
$CNO_Scale_Title	クエスト一覧のスケール
$CNO_ShowEnemyMarkers_Desc	コンパスに敵マーカーを表示します。
$CNO_ShowEnemyMarkers_Title	敵マーカーを表示
$CNO_ShowEnemyName_Desc	フォーカスした敵マーカーの下に敵の名前を表示します。
$CNO_ShowEnemyName_Title	敵の名前を表示
$CNO_ShowExteriors_Desc	屋外でクエスト一覧を表示します。
$CNO_ShowExteriors_Title	屋外で表示
$CNO_ShowInteriorMarkers_Desc	対応するロケーションマーカーを屋内でも表示できるようにします。
$CNO_ShowInteriorMarkers_Title	屋内マーカーを表示
$CNO_ShowInteriors_Desc	屋内でクエスト一覧を表示します。
$CNO_ShowInteriors_Title	屋内で表示
$CNO_ShowObjectiveTarget_Desc	フォーカスしたクエスト目標をコンパスの下に表示します。
$CNO_ShowObjectiveTarget_Title	目標をターゲットとして表示
$CNO_ShowOtherObjectivesCount_Desc	同じマーカーを使用する追加目標の数を表示します。
$CNO_ShowOtherObjectivesCount_Title	他の目標数を表示
$CNO_ShowUndiscovered_Desc	未発見ロケーションのマーカーをコンパスに表示します。
$CNO_ShowUndiscovered_Title	未発見ロケーションを表示
$CNO_SprintingDelay_Desc	スプリント中にクエスト一覧を表示するまでの遅延です。
$CNO_SprintingDelay_Title	スプリント時の遅延
$CNO_Title	Compass Navigation Overhaul
$CNO_UndiscoveredUnknownInfo_Desc	発見するまでロケーション名を隠します。距離と高さは表示されたままです。
$CNO_UndiscoveredUnknownInfo_Title	未発見ロケーション名を隠す
$CNO_UndiscoveredUnknownMarker_Desc	ロケーションを発見するまで疑問符アイコンを使用します。
$CNO_UndiscoveredUnknownMarker_Title	未発見ロケーションに ? を使用
$CNO_UseMetric_Desc	マーカーまでの距離をメートル法で表示します。
$CNO_UseMetric_Title	メートル法を使用
$CNO_WalkingDelay_Desc	歩行中にクエスト一覧を表示するまでの遅延です。
$CNO_WalkingDelay_Title	歩行時の遅延
